timestamp,ax,ay,az,gx,gy,gz,mx,my,mz
1752689872.441336,-0.0532,0.004,-1.0133,0.2362,-0.1312,-2.8525,-0.1602,0.2414,0.5296
1752689872.4898863,-0.0523,0.0028,-1.013,0.3588,-0.1663,-3.29,-0.1567,0.2408,0.5268
1752689872.5432417,-0.0534,0.0033,-1.0116,0.35,-0.14,-2.9838,-0.1539,0.2388,0.5239
1752689872.5916145,-0.0521,0.0012,-1.0112,0.245,-0.1575,-3.15,-0.1561,0.245,0.5333
1752689872.6452947,-0.0516,0.0041,-1.0127,0.3588,-0.0788,-3.0363,-0.1555,0.2416,0.5278
1752689872.6936486,-0.0546,0.0029,-1.0105,0.21,-0.0175,-3.1675,-0.1551,0.2421,0.5265
1752689872.7483265,-0.0509,0.0028,-1.0147,0.1575,-0.07,-3.185,-0.1569,0.2412,0.5261
1752689872.7965412,-0.0519,0.0023,-1.0127,0.245,-0.14,-3.08,-0.161,0.2432,0.5257
1752689872.8504136,-0.0525,0.0047,-1.0104,0.21,-0.1138,-3.1325,-0.1607,0.2435,0.5316
1752689872.898995,-0.0525,0.0024,-1.0119,0.455,-0.07,-3.0188,-0.1571,0.2397,0.5286
1752689872.952409,-0.0545,0.0016,-1.0147,0.0963,0.0525,-3.08,-0.1544,0.2387,0.5292
1752689873.0007489,-0.0558,0.0051,-1.0128,0.1663,-0.0875,-3.2288,-0.1593,0.2418,0.5305
1752689873.054544,-0.0533,0.0033,-1.013,0.0438,-0.035,-3.0363,-0.1554,0.2405,0.5338
1752689873.1028578,-0.0561,0.0022,-1.0136,0.5862,-0.035,-2.9838,-0.1572,0.2419,0.5334
1752689873.157599,-0.054,0.004,-1.0115,0.28,-0.2275,-3.1937,-0.156,0.2401,0.53
1752689873.206062,-0.0519,0.0053,-1.0146,0.2187,-0.0613,-2.8612,-0.1567,0.2407,0.537
1752689873.259633,-0.0539,0.0053,-1.0147,0.2362,-0.14,-3.0013,-0.1565,0.237,0.5337
1752689873.3240163,-0.0527,0.0047,-1.0122,0.175,-0.0613,-3.1238,-0.155,0.2393,0.5327
1752689873.3720384,-0.0524,0.0035,-1.0134,0.5775,-0.1225,-3.0538,-0.1551,0.2409,0.5305
1752689873.412654,-0.0525,0.0034,-1.011,0.1663,-0.0788,-3.255,-0.1562,0.239,0.5275
1752689873.4611864,-0.0554,0.0035,-1.0117,0.3763,-0.1663,-3.1588,-0.1583,0.2414,0.5246
1752689873.5157301,-0.055,0.0035,-1.0142,0.35,-0.2538,-2.8612,-0.1562,0.2428,0.5317
